point,n. 尖，点；地点；分数，得分；论点；重点；指出；强调
incomplete,adj. 不完全的；未完成的；不完备的
leave,vi./vt. 离开；留下，忘带；让，听任
local,a. 地方的，当地的；局部的 n. 当地人
position,n. 位置；状况；地位；职位；姿势；见解
retire,vi./vt. 退休，引退；退却，撤退；就寝；退出
routine,n. 例行公事，常规；乏味 a. 常规的，例行的；乏味的
sense,n. 感官；感觉；判断力；意思，意义 vt. 觉得，意识到
spread,vi./vt./n. 伸开，传播
amount,n. 数量，数额；金额 vt. 共计；等同，接近
finding,n. 发现，研究结果
hold,vt. 拿着；保有，保持；支撑；举行 n. 拿，捏，抓，托
conversation,n. 会话，谈话
relationship,n. 关系，联系
disabled,adj.残废的，有缺陷的； v. 使无能力（过去式）；使伤残；使无效
future,n. 将来，未来；前途，前景 a. 将来的，未来的
matter,n. 物质，物体；毛病，麻烦；事情 vi. 有关系，要紧
mosquito,n. 蚊子
profit,n. 利润；好处 vi. 获益 vt. 有利于
purpose,n. 目的，意图；用途，效果；重要意义
quality,n. 质量，品质，特性
review,vi./vt. 回顾，复习；反思；n. 回顾，复习，品论
strict,a. 严格的，严厉的；严密的
averange,n. 平均，平均数 a. 平均的；普通的 vt./vi. 平均
available,a. 可利用的，可获得的； 有空的；可见到的，接受采访的
benefit,n. 利益，好处，恩惠；优势 vt./vi. 有益于，收益
course,n. 课程，教程；过程；处理方式；航线
decade,n. 十年
demand,n./vi./vt. 要求，请求，需求量 vi./vt. 查问
difference,n. 差别，差异；差额；意见分歧
economic,a. 经济上的，经济学的；有利可图的
genetic,a. 基因的;遗传的 n. 遗传学
happen,vi. 偶然发生，碰巧
national,a. 民族的，国家的，国立的 n. 公民
sight,n. 视力；望见；眼界；情景，风景
similar,a. 相似的，类似的
crime,n. 罪行，犯罪
fail,vi./vt. 失败；不及格；失灵；衰退 n. 考试不及格
form,n. 形状，形式；表格；类型 vi./vt. 组成，构成；形成；成型
measure,vi./vt. 测量，权衡 n. 计量法；措施，办法
mental,a. 思想的；精神健康的；发疯的
occur,vi. 发生，存在；想起
production,n. 生产，产生；总产量 n. 产品，成果
contact,vt./vi./n. (使)接触，交往
contest,n. 竞争，比赛；争夺  vt./vi. 竞争，比赛，争论
continue,vt./vi. 继续，连续； 移动，延伸
cost,n. 成本，费用，代价 vt. 价值未，花费；付出代价
damage,vt./vi./n. 损害，损坏 n. 损害赔偿费
deep,a. 深的，深入的 ad. 深入地
drop,n. 滴，滴状物；下降 vi./vt. 落下；下降；倒下；略去；抛弃
employee,n. 雇工，雇员
establish,vt. 建立；安置，得到认同
explain,vi./vt. 解释，说明
fear,n. 害怕，恐惧；危险 vt. 畏惧，害怕，担心
focus,n. 焦点，中心 vi./vi. 聚焦，集中于
fuction,n. 功能，作用；职责；pl. 职务； 函数 vi. 起作用，运转
importance,n. 重要，重要性
limited,a. 有限的
mind,n. 头脑；精神、理智，思维 vt. 注意；照料；介意，反对
name,n. 名字；名人； vt. 给...取名；列举；提名
performance,n. 履行、工作；表演；性能；成绩
practice,n./vi./vt. 练习，实习，实践 n. 工作，业务；惯例，习惯
treat,n. 恐吓，威胁，危险迹象
accident,n. 意外遭遇，事故； 意外
advance,n. 前进，预付 vi. 前进，进展 vt. 促进，推进；预付
conservation,n. 保护；保存。保守，预付流失；守恒，不灭
easy,a. 容易的；安逸的； 从容的
include,vt. 包括，包含，计入，使...成为一部分
maintain,vt. 维修；保留；供养；坚持，主张；支持
professional,a. 职业的；专门的；精通业务的 n. 自由职业者；专业人员；内行
relate,vi./vt 使互相关联；证明...有关联
replace,vt. 取代，更新，代替；把...放回原处
resist,vi./vt. 抵抗，反抗；忍得住；使不受...的伤害
response,n. 回答，响应；反应
seed,n. 种子 vi./vt. 播种；结籽
stopping,n. 购物，买东西;工作室；车间 vi. 选购 vt.逛
visual,a. 看的，看得见的;视觉的 n. 视觉资料，画画，图像
volunteer,n./vt./vi. 意愿
aggressive,a. 侵略的；积极进取的
alter,vt. 改变，更改；改做 vi. 改变，变化
attitude,n. 态度，看法
attract,vt. 吸引；引起
career,n. 事业、专业，生涯，职业，经历
collect,vt./vi. 收集；聚集；募捐，收账
electronic,a. 电子的；电子设备的
engineer,n. 工程师 vi./vt. 密谋，策划；设计，建造
force,
influence,
nature,
organization,
potentail,
process,
solution,
subject,
successful,
therefore,
tired,
belief,
carbon,
carry,
determine,
dress,
enable,
exist,
gap,
growth,
identify,
mention,
organic,
origin,
pay,
practical,
predict,
regard,
save,
simple,
transmit,
account,
aim,
case,
casual,
close,
condition,
concept,
consider,
create,
current,
develop,
evidence,
infer,
major,
method,
reflect,
pressure,
publish,
respect,
simply,
stress,
tempt,
trend,
traffic,
accept,
access,
adult,
advantage,
aware,
challenge,
consumption,
contribute,
emotion,
extra,
figure,
glue,
image,
impair,
impression,
manner,
lump,
proper,
realize,
revolution,
transport,
argue,
convention,
design,
dioxide,
handle,
hope,
lie,
attack,
contain,
mobile,
obtain,
progress,
solve,
survey,
unique,
wildlife,
agency,
annual,
audience,
basis,
chance,
coverage,
deal,
drought,
drug,
emergency,
equal,
expand,
graduate,
harmful,
impact,
investment,
issue,n. 问题，争端；期号 vt./n. 发行 分发；发布
objective,
per,
prefer,
qualify,
represent,
revenge,
stereotype,
advanced,
attempt,
cancer,
centre,
concern,
clean,
cope,
decline,
disaster,
electric,
entire,
estimate,
expression,
extinct,
freedom,
further,
gain,
hardly,
management,
occasion,
organism,
perception,
reserve,
resource,
restrict,
sequence,
supply,
target,
temporary,
tpical,
upper,
achievement,
alert,
argument,
barrier,
community,
conclusion,
confidence,
critical,
custom,
detail,
distinguish,
dream,
exception,
executive,
experiment,
float,
fundamental,
generation,
grow ,
immediate,
industrial,
institution,
interact,
interest,
loss,
normal,
observe,
organize,
outline,
pattern,
positive,
previous,
proportion,
propose,
recommend,
regular,
resistant,
shift,
strength,
suface,
tide,
trade,
unusual,
various,
vast,
association,
alive,
balance,
construction,
conventional,
cheque,
deliver,
draw,
economy,
emerge,
essential,
examination,
exact,
extreme,
generally,
imagine,
interesting,
location,
majority,
manager,
married,
partly,
political,
polite,
range,
rare,
regulation,
reject,
relative,
responsible,
rude,
security,
significant,
suppose,
transfer,
acquire,
analysis,
apply,
approve,
breed,
civilization,
claim,
clinic,
clue,
colleague,
complain,
complex,
concerning,
conduct,
consume,
contract,
creature,
depression,
discovery,
disorder,
eliminate,
emotional,
employ,
end ,
engineering ,
eventually,
expensive,
fashion,
gasoline,
gym,
healthy,
identical,
intelligence,
intend,
introduce,
judge,
learned,
lose,
obstacle,
overseas,
perfect,
provided,
remark,
reluctant,
reward,
shake,
term,
threaten,
transportation,
victim,
vital,
understanding,
worried,
academic,
addition,
aid,
ancient,
appropriate,
arithmetic,
arrangement,
aspect,
atmosphere,
blame,
block,
capable,
catch,
characteristic,
chemical,
commitment,
conscious,
contrast,
contribution,
corporation,
crisis,
decision,
desire,
desperate,
disturb,
earn,
employer,
equipment,
expectation,
explanation,
feedback,
flower,
formal,
furniture,
ground,
guide,
harvest,
historical,
hurt,
ideal,
improvement,
inflation,
initial,
intention,
invent,
marry,
mood,
native,
offer,
opponent,
packet,
phenomenon,
physician,
promote,
rational,
reasonable,
reservation,
responsibility,
scent,
sector,
specific,
staff,
substance,
substitute,
succeed,
surrender,
suspect,
technique,
tribe,
vehicle,
asborb,
acquisition,
adjust,
affection,
agriculture,
appeal,
approach,
art,
assign,
attend,
broadcast,
collapse,
comparison,
connect,
constant,
criminal,
curious,
customer,
decrease,
define,
despite,
diminish,
direct ,
discuss,
distribute,
elect ,
encounter,
encourage,
entertainment,
fatal,
feature,
finance,
financial,
flavor,
flexible,
former,
foundation,
guard,
household,
hydrogen,
imagination,
imply,
iherit,
insert,
insight,
instance,
intelligent,
isolate,
jazz,
labor,
lock ,
logical,
mystery,
notion,
parental,
partial,
philosopher,
purchase,
qualification,
reinforce,
remove,
requirement,
reputation,
satisfaction,
severe,
sort,
steady,
stick,
strengthen,
surroundings,
technical,
transform,
trap,
variety,
voluntary,
adequate,
adopt,
associate,
automobile,
beyond,
blind,
boost,
brand,
cable,
candidate,
characteristic,
climb,
club,
commercial,
competition,
concentrate,
consequence,
courtesy,
description,
destroy,
detect,
district,
document,
due,
enormous,
escape,
evaluate,
exchange,
extent,
extremely,
failure,
fault,
favourable,
fiction,
fit,
flood,
fortune,
fossil,
garage,
gather,
gene,
globe,
guarantee,
hang,
ignore,
multiple,
neglect,
nutrient,
option,
overcome,
possess,
press,
prestige,
pretty,
private,
procedure,
product,
promise,
prosperity,
psychological,
punishment,
release,
relevant,
reveal,
scan,
scheme,
scope,
senior,
sensitive,
sharp,
significance,
software,
spiritual,
spot,
status,
suitable,
surround,
survive,
switch,
tough,
universal,
vacation,
via,
vulnerable,
widespread,
accelerate,
accumulate,
affair,
alliance,
alternative,
annoy,
application,
appointment,
assistance,
assume,
atom,
attach,
attain,
background,
band,
beneath,
budget,
channel,
circumstance,
clone,
code,
collection,
collective,
comfortable,
comment,
commission,
communicate,
component,
compose,
conclude,
concrete,
consist,
content,
convenient,
convey,
convince,
coworker,
cultivate,
debate,
deliberate,
delivery,
demonstrate,
descend,
diagnosis,
diffculty,
discipline,
doubt,
dwell,
ecosystem,
efficiency,
electrical,
electricity,
employment,
ensure,
execution,
expansion,
expenditure,
exploit,
explore,
explosion,
extend,
extensive,
facilitate,
fraction,
funeral,
furthemore,
genuine,
hammer,
historian,
hostile,
impose,
increasingly,
independent,
indicate,
initiative,
insist,
instant,
instruct,
insurance,
investigate,
invite,
label,
leading,
likewise,
loud,
manufacture,
mission,
opportunity,
oppose,
orient,
orientation,
overall,
physics,
pioneer,
policy,
pour,
powerfull,
preference,
prominent,
property,
proposal,
psychology,
recipe,
recognize,
replacement,
rescue,
resemble,
resident,
rural,
scarce,
shock,
smile,
spouse,
steel,
strip,
sufficient,
tendency,
tense,
thread,
tiny,
tolerate,
ultimate,
undermine,
website,
witness,
abandon,
abnormal,
absolute,
acceptable,
accomplish,
additional,
adverse,
advertisement,
advocate,
afford,
anchor,
anger,
antibiotic,
arouse,
attribute,
authority,
availability,
bamboo,
ban,
battery,
blog,
bound,
chart,
chocolate,
christmas,
chronic,
civilizse,
comic,
complicated,
confident,
confuse,
connection,
credit,
criticizse,
curiosity,
delay,
delight,
depend,
dependent,
derive,
director,
disappear,
display,
distract,
dominate,
double,
drain,
drastic,
drift,
dynamic,
ease,
economical,
elementary,
emphasis,
emphasizse,
enclose,
equip,
excellent,
excessive,
exclusive,
existence,
expense,
exposure,
favour,
feasible,
firm,
forbid,
generate,
handicap,
harsh,
hazard,
hesitate,
highlight,
holiday,
honour,
hormone,
illustrate,
impatient,
implication,
industrializse,
igngredient,
inhabit,
initiate,
insect,
inspect,
instruction,
insult,
interaction,
invention,
latin,
leadership,
lean,
liable,
locate,
mechanism,
military,
misery,
mutual,
mysterious,
nation,
nervous,
neutral,
obesity,
observation,
observer,
occuption,
offspring,
opposite,
optimistic,
optional,
ownership,
pace,
participate,
compassion,
permit,
petrol,
philosophy,
poisonous,
prediction,
prejudice,
preserve,
publication,
pump,
react,
realistic,
rebel,
recall,
regulate,
relief,
remote,
remind,
resort,
retrieve,
reverse,
rhythm,
satisfy,
scold,
skilled,
slight,
strategy,
stretch,
strike,
struggle,
stubborn,
subsequent,
symptom,
temper,
tension,
tolerance,
track,
transmission,
tremendous,
undertake,
urban,
utilizse,
vain,
vanish,
vivid,
waterproof,
